Tahun;Provinsi;Kabupaten/Kota;Timbulan Sampah Harian(ton);Timbulan Sampah Tahunan(ton)
2024;Jawa Barat;Kabupaten Purwakarta;418,28;152.672,78
2024;Jawa Barat;Kabupaten Karawang;1.066,97;389.444,24
2024;Jawa Barat;Kabupaten Bekasi;1.683,46;614.462,32
2024;Jawa Barat;Kabupaten Bandung Barat;753,68;275.091,74
2024;Jawa Barat;Kabupaten Pangandaran;178,06;64.993,07
2024;Jawa Barat;Kota Bogor;755,36;275.707,63
2024;Jawa Barat;Kota Bandung;1.496,31;546.151,49
2024;Jawa Barat;Kota Cirebon;216,35;78.969,28
2024;Jawa Barat;Kota Bekasi;1.768,29;645.426,98
2024;Jawa Barat;Kota Depok;1.363,09;497.529,02
2024;Jawa Barat;Kota Tasikmalaya;334,88;122.229,45
2024;Jawa Barat;Kota Banjar;87,20;31.828,00
2024;Jawa Tengah;Kabupaten Cilacap;963,76;351.771,64
2024;Jawa Tengah;Kabupaten Banyumas;731,43;266.971,66
2024;Jawa Tengah;Kabupaten Purbalingga;513,67;187.488,27
2024;Jawa Tengah;Kabupaten Kebumen;485,12;177.069,85
2024;Jawa Tengah;Kabupaten Purworejo;323,12;117.937,34
2024;Jawa Tengah;Kabupaten Wonosobo;363,87;132.810,94
2024;Jawa Tengah;Kabupaten Magelang;668,71;244.077,51
2024;Jawa Tengah;Kabupaten Boyolali;299,79;109.424,60
2024;Jawa Tengah;Kabupaten Klaten;653,97;238.699,57
2024;Jawa Tengah;Kabupaten Sukoharjo;366,59;133.804,91
2024;Jawa Tengah;Kabupaten Wonogiri;348,40;127.166,54
2024;Jawa Tengah;Kabupaten Karanganyar;382,05;139.446,94
2024;Jawa Tengah;Kabupaten Sragen;598,49;218.449,22
2024;Jawa Tengah;Kabupaten Grobogan;865,25;315.817,20
2024;Jawa Tengah;Kabupaten Rembang;266,20;97.163,15
2024;Jawa Tengah;Kabupaten Pati;679,68;248.083,93
2024;Jawa Tengah;Kabupaten Kudus;438,91;160.202,33
2024;Jawa Tengah;Kabupaten Jepara;432,65;157.915,99
2024;Jawa Tengah;Kabupaten Demak;626,49;228.667,03
2024;Jawa Tengah;Kabupaten Semarang;538,96;196.718,94
2024;Jawa Tengah;Kabupaten Temanggung;405,90;148.153,14
2024;Jawa Tengah;Kabupaten Kendal;437,22;159.584,72
2024;Jawa Tengah;Kabupaten Batang;472,46;172.449,11
2024;Jawa Tengah;Kabupaten Pekalongan;402,95;147.078,06
2024;Jawa Tengah;Kabupaten Pemalang;472,32;172.397,83
2024;Jawa Tengah;Kabupaten Tegal;661,94;241.609,56
2024;Jawa Tengah;Kabupaten Brebes;1.021,54;372.861,55
2024;Jawa Tengah;Kota Magelang;80,86;29.515,10
2024;Jawa Tengah;Kota Surakarta;420,17;153.360,91
2024;Jawa Tengah;Kota Salatiga;115,06;41.995,35
2024;Jawa Tengah;Kota Semarang;1.189,71;434.243,97
2024;Daerah Istimewa Yogyakarta;Kabupaten Kulon Progo;216,92;79.177,19
2024;Daerah Istimewa Yogyakarta;Kabupaten Bantul;421,52;153.853,22
2024;Daerah Istimewa Yogyakarta;Kabupaten Gunungkidul;368,00;134.318,32
2024;Daerah Istimewa Yogyakarta;Kabupaten Sleman;601,79;219.653,64
2024;Daerah Istimewa Yogyakarta;Kota Yogyakarta;332,48;121.356,66
2024;Jawa Timur;Kabupaten Pacitan;304,67;111.204,15
2024;Jawa Timur;Kabupaten Ponorogo;383,80;140.087,00
2024;Jawa Timur;Kabupaten Trenggalek;302,44;110.391,91
2024;Jawa Timur;Kabupaten Tulungagung;450,40;164.395,27
2024;Jawa Timur;Kabupaten Blitar;417,00;152.206,64
2024;Jawa Timur;Kabupaten Kediri;673,78;245.930,28
2024;Jawa Timur;Kabupaten Malang;976,00;356.238,93
2024;Jawa Timur;Kabupaten Lumajang;545,70;199.180,68
2024;Jawa Timur;Kabupaten Jember;835,52;304.964,95
2024;Jawa Timur;Kabupaten Banyuwangi;839,10;306.270,96
2024;Jawa Timur;Kabupaten Bondowoso;315,20;115.049,02
2024;Jawa Timur;Kabupaten Situbondo;256,63;93.669,45
2024;Jawa Timur;Kabupaten Probolinggo;465,54;169.923,41
2024;Jawa Timur;Kabupaten Pasuruan;671,39;245.057,20
2024;Jawa Timur;Kabupaten Sidoarjo;878,60;320.690,10
2024;Jawa Timur;Kabupaten Mojokerto;449,64;164.117,17
2024;Jawa Timur;Kabupaten Jombang;530,37;193.583,44
2024;Jawa Timur;Kabupaten Nganjuk;457,80;167.098,17
2024;Jawa Timur;Kabupaten Madiun;295,69;107.927,58
2024;Jawa Timur;Kabupaten Magetan;276,65;100.976,23
2024;Jawa Timur;Kabupaten Ngawi;371,87;135.732,55
2024;Jawa Timur;Kabupaten Bojonegoro;368,03;134.329,37
2024;Jawa Timur;Kabupaten Tuban;528,51;192.907,81
2024;Jawa Timur;Kabupaten Lamongan;554,33;202.331,91
2024;Jawa Timur;Kabupaten Gresik;402,23;146.814,53
2024;Jawa Timur;Kabupaten Bangkalan;417,67;152.450,43
2024;Jawa Timur;Kabupaten Sampang;464,41;169.511,29
2024;Jawa Timur;Kabupaten Pamekasan;280,74;102.470,10
2024;Jawa Timur;Kabupaten Sumenep;364,55;133.059,91
2024;Jawa Timur;Kota Kediri;182,28;66.532,27
2024;Jawa Timur;Kota Blitar;77,44;28.263,78
2024;Jawa Timur;Kota Malang;731,24;266.901,57
2024;Jawa Timur;Kota Probolinggo;121,87;44.483,65
2024;Jawa Timur;Kota Pasuruan;148,87;54.335,88
2024;Jawa Timur;Kota Mojokerto;99,25;36.226,07
2024;Jawa Timur;Kota Madiun;124,08;45.287,39
2024;Jawa Timur;Kota Surabaya;1.810,81;660.946,82
2024;Jawa Timur;Kota Batu;144,96;52.910,59
2024;Banten;Kabupaten Pandeglang;525,11;191.663,84
2024;Banten;Kabupaten Lebak;612,63;223.608,34
2024;Banten;Kabupaten Serang;1.200,57;438.206,52
2024;Banten;Kota Tangerang;2.187,41;798.405,91
2024;Banten;Kota Cilegon;360,92;131.735,68
2024;Banten;Kota Serang;617,31;225.318,46
2024;Bali;Kabupaten Jembrana;164,68;60.106,92
2024;Bali;Kabupaten Tabanan;237,18;86.571,07
2024;Bali;Kabupaten Badung;547,43;199.810,15
2024;Bali;Kabupaten Gianyar;562,00;205.129,64
2024;Bali;Kabupaten Klungkung;111,86;40.829,45
2024;Bali;Kabupaten Bangli;113,86;41.557,88
2024;Bali;Kabupaten Karangasem;281,22;102.643,48
2024;Bali;Kabupaten Buleleng;413,10;150.779,68
2024;Bali;Kota Denpasar;1.004,95;366.806,75
2024;Nusa Tenggara Barat;Kabupaten Lombok Barat;301,46;110.031,59
2024;Nusa Tenggara Barat;Kabupaten Lombok Timur;556,55;203.141,77
2024;Nusa Tenggara Barat;Kabupaten Sumbawa;263,00;95.996,46
2024;Nusa Tenggara Barat;Kabupaten Sumbawa Barat;62,09;22.664,31
2024;Nusa Tenggara Barat;Kabupaten Lombok Utara;108,79;39.708,06
2024;Nusa Tenggara Timur;Kabupaten Kupang;156,08;56.970,66
2024;Nusa Tenggara Timur;Kabupaten Timor Tengah Utara;109,64;40.019,18
2024;Nusa Tenggara Timur;Kabupaten Belu;92,58;33.791,99
2024;Nusa Tenggara Timur;Kabupaten Alor;90,66;33.090,32
2024;Nusa Tenggara Timur;Kabupaten Flores Timur;208,07;75.944,82
2024;Nusa Tenggara Timur;Kabupaten Sikka;134,14;48.962,56
2024;Nusa Tenggara Timur;Kabupaten Ende;110,51;40.337,90
2024;Nusa Tenggara Timur;Kabupaten Ngada;120,07;43.825,66
2024;Nusa Tenggara Timur;Kabupaten Manggarai;149,38;54.522,82
2024;Nusa Tenggara Timur;Kabupaten Sumba Timur;59,71;21.792,78
2024;Nusa Tenggara Timur;Kabupaten Sumba Barat;62,01;22.631,90
2024;Nusa Tenggara Timur;Kabupaten Lembata;71,17;25.975,96
2024;Nusa Tenggara Timur;Kabupaten Rote Ndao;59,52;21.726,41
2024;Nusa Tenggara Timur;Kabupaten Manggarai Barat;145,34;53.050,56
2024;Nusa Tenggara Timur;Kabupaten Nagekeo;65,78;24.010,72
2024;Nusa Tenggara Timur;Kabupaten Sumba Tengah;36,19;13.210,37
2024;Nusa Tenggara Timur;Kabupaten Sumba Barat Daya;161,04;58.778,32
2024;Nusa Tenggara Timur;Kabupaten Manggarai Timur;99,86;36.449,48
2024;Nusa Tenggara Timur;Kabupaten Sabu Raijua;37,91;13.838,90
2024;Nusa Tenggara Timur;Kabupaten Malaka;76,40;27.885,12
2024;Nusa Tenggara Timur;Kota Kupang;233,32;85.160,34
2024;Kalimantan Barat;Kabupaten Sambas;390,55;142.551,70
2024;Kalimantan Barat;Kabupaten Mempawah;83,56;30.500,63
2024;Kalimantan Barat;Kabupaten Sanggau;253,78;92.630,43
2024;Kalimantan Barat;Kabupaten Kapuas Hulu;137,46;50.171,99
2024;Kalimantan Barat;Kabupaten Bengkayang;119,59;43.650,93
2024;Kalimantan Barat;Kabupaten Landak;163,83;59.797,95
2024;Kalimantan Barat;Kabupaten Melawi;87,04;31.769,60
2024;Kalimantan Barat;Kabupaten Kayong Utara;67,54;24.653,38
2024;Kalimantan Barat;Kabupaten Kubu Raya;443,06;161.718,47
2024;Kalimantan Barat;Kota Pontianak;411,96;150.366,28
2024;Kalimantan Barat;Kota Singkawang;97,21;35.483,20
2024;Kalimantan Tengah;Kabupaten Kotawaringin Barat;139,87;51.052,55
2024;Kalimantan Tengah;Kabupaten Kotawaringin Timur;239,41;87.386,26
2024;Kalimantan Tengah;Kabupaten Kapuas;212,59;77.596,45
2024;Kalimantan Tengah;Kabupaten Barito Selatan;67,98;24.813,80
2024;Kalimantan Tengah;Kabupaten Katingan;67,73;24.722,91
2024;Kalimantan Tengah;Kabupaten Seruyan;85,65;31.262,98
2024;Kalimantan Tengah;Kabupaten Sukamara;25,77;9.406,93
2024;Kalimantan Tengah;Kabupaten Gunung Mas;98,38;35.908,88
2024;Kalimantan Tengah;Kabupaten Pulang Pisau;69,10;25.221,50
2024;Kalimantan Tengah;Kabupaten Barito Timur;46,92;17.127,55
2024;Kalimantan Tengah;Kota Palangkaraya;160,25;58.491,25
2024;Kalimantan Selatan;Kabupaten Tanah Laut;145,65;53.161,08
2024;Kalimantan Selatan;Kabupaten Kotabaru;181,30;66.175,43
2024;Kalimantan Selatan;Kabupaten Banjar;365,43;133.381,04
2024;Kalimantan Selatan;Kabupaten Barito Kuala;100,28;36.602,13
2024;Kalimantan Selatan;Kabupaten Tapin;79,16;28.892,38
2024;Kalimantan Selatan;Kabupaten Hulu Sungai Selatan;97,60;35.624,29
2024;Kalimantan Selatan;Kabupaten Hulu Sungai Tengah;134,18;48.975,70
2024;Kalimantan Selatan;Kabupaten Hulu Sungai Utara;94,82;34.609,15
2024;Kalimantan Selatan;Kabupaten Tabalong;118,06;43.092,79
2024;Kalimantan Selatan;Kabupaten Tanah Bumbu;175,66;64.117,18
2024;Kalimantan Selatan;Kabupaten Balangan;58,77;21.452,55
2024;Kalimantan Selatan;Kota Banjarmasin;475,75;173.647,25
2024;Kalimantan Selatan;Kota Banjarbaru;190,93;69.690,95
2024;Kalimantan Timur;Kabupaten Paser;126,96;46.341,67
2024;Kalimantan Timur;Kabupaten Kutai Kartanegara;372,77;136.061,62
2024;Kalimantan Timur;Kabupaten Berau;149,50;54.568,41
2024;Kalimantan Timur;Kabupaten Kutai Barat;74,63;27.240,83
2024;Kalimantan Timur;Kabupaten Kutai Timur;224,43;81.915,13
2024;Kalimantan Timur;Kabupaten Penajam Paser Utara;101,03;36.877,23
2024;Kalimantan Timur;Kabupaten Mahakam Ulu;18,87;6.888,69
2024;Kalimantan Timur;Kota Balikpapan;540,69;197.352,80
2024;Kalimantan Timur;Kota Samarinda;616,86;225.152,99
2024;Kalimantan Timur;Kota Bontang;107,41;39.206,17
2024;Kalimantan Utara;Kabupaten Bulungan;84,06;30.681,17
2024;Kalimantan Utara;Kabupaten Nunukan;45,76;16.703,80
2024;Kalimantan Utara;Kabupaten Tana Tidung;11,72;4.276,49
2024;Sulawesi Utara;Kabupaten Bolaang Mongondow;127,47;46.527,46
2024;Sulawesi Utara;Kabupaten Minahasa;176,53;64.432,36
2024;Sulawesi Utara;Kabupaten Kepulauan Sangihe;56,25;20.529,64
2024;Sulawesi Utara;Kabupaten Kepulauan Talaud;40,26;14.694,17
2024;Sulawesi Utara;Kabupaten Minahasa Selatan;87,02;31.764,05
2024;Sulawesi Utara;Kabupaten Minahasa Utara;120,48;43.976,48
2024;Sulawesi Utara;Kabupaten Minahasa Tenggara;47,72;17.418,53
2024;Sulawesi Utara;Kabupaten Bolaang Mongondow Utara;34,44;12.572,21
2024;Sulawesi Utara;Kabupaten Kep. Siau Tagulandang Biaro;29,15;10.640,92
2024;Sulawesi Utara;Kabupaten Bolaang Mongondow Timur;37,07;13.529,97
2024;Sulawesi Utara;Kabupaten Bolaang Mongondow Selatan;30,15;11.004,60
2024;Sulawesi Utara;Kota Manado;296,05;108.059,84
2024;Sulawesi Utara;Kota Bitung;150,31;54.861,98
2024;Sulawesi Utara;Kota Tomohon;51,36;18.747,13
2024;Sulawesi Utara;Kota Kotamobagu;86,65;31.626,81
2024;Sulawesi Tengah;Kabupaten Donggala;123,32;45.011,80
2024;Sulawesi Tengah;Kabupaten Morowali;85,23;31.107,13
2024;Sulawesi Tengah;Kabupaten Banggai Kepulauan;60,84;22.207,33
2024;Sulawesi Tengah;Kabupaten Parigi Moutong;228,52;83.408,16
2024;Sulawesi Tengah;Kabupaten Banggai Laut;38,70;14.124,59
2024;Sulawesi Tengah;Kabupaten Morowali Utara;75,32;27.490,71
2024;Sulawesi Tengah;Kota Palu;194,98;71.167,52
2024;Sulawesi Selatan;Kabupaten Kepulauan Selayar;56,84;20.746,60
2024;Sulawesi Selatan;Kabupaten Bulukumba;186,15;67.943,00
2024;Sulawesi Selatan;Kabupaten Bantaeng;84,65;30.896,96
2024;Sulawesi Selatan;Kabupaten Jeneponto;168,05;61.337,96
2024;Sulawesi Selatan;Kabupaten Bone;410,26;149.743,08
2024;Sulawesi Selatan;Kabupaten Maros;165,44;60.385,60
2024;Sulawesi Selatan;Kabupaten Pangkajene dan Kepulauan;144,72;52.821,49
2024;Sulawesi Selatan;Kabupaten Barru;78,53;28.664,91
2024;Sulawesi Selatan;Kabupaten Soppeng;96,38;35.179,43
2024;Sulawesi Selatan;Kabupaten Sidenreng Rappang;132,30;48.288,33
2024;Sulawesi Selatan;Kabupaten Pinrang;187,73;68.522,47
2024;Sulawesi Selatan;Kabupaten Enrekang;104,79;38.248,08
2024;Sulawesi Selatan;Kabupaten Luwu;153,71;56.104,88
2024;Sulawesi Selatan;Kabupaten Tana Toraja;129,47;47.255,46
2024;Sulawesi Selatan;Kabupaten Luwu Utara;166,56;60.795,68
2024;Sulawesi Selatan;Kabupaten Luwu Timur;123,41;45.045,38
2024;Sulawesi Selatan;Kabupaten Toraja Utara;133,26;48.638,62
2024;Sulawesi Selatan;Kota Makassar;1.064,06;388.381,87
2024;Sulawesi Selatan;Kota Parepare;80,92;29.535,80
2024;Sulawesi Selatan;Kota Palopo;88,76;32.398,50
2024;Sulawesi Tenggara;Kabupaten Kolaka;120,51;43.984,58
2024;Sulawesi Tenggara;Kabupaten Konawe;133,15;48.599,57
2024;Sulawesi Tenggara;Kabupaten Buton;60,44;22.059,32
2024;Sulawesi Tenggara;Kabupaten Konawe Utara;30,96;11.299,09
2024;Sulawesi Tenggara;Kabupaten Kolaka Timur;56,58;20.651,85
2024;Sulawesi Tenggara;Kota Kendari;252,85;92.291,44
2024;Sulawesi Tenggara;Kota Bau Bau;91,00;33.215,00
2024;Gorontalo;Kabupaten Bone Bolango;56,86;20.753,66
2024;Gorontalo;Kota Gorontalo;143,05;52.213,98
2024;Sulawesi Barat;Kabupaten Mamuju;146,20;53.362,09
2024;Sulawesi Barat;Kabupaten Majene;90,68;33.098,20
2024;Maluku;Kabupaten Buru;64,58;23.572,50
2024;Maluku;Kabupaten Seram Bagian Barat;86,96;31.738,79
2024;Maluku;Kabupaten Kepulauan Aru;45,01;16.429,53
2024;Maluku;Kabupaten Maluku Barat Daya;37,51;13.689,84
2024;Maluku;Kota Ambon;247,84;90.460,29
2024;Maluku Utara;Kabupaten Halmahera Timur;53,84;19.652,42
2024;Papua;Kabupaten Jayapura;101,89;37.188,39
2024;Papua;Kabupaten Kepulauan Yapen;46,44;16.951,62
2024;Papua;Kabupaten Sarmi;17,00;6.205,00
2024;Papua;Kabupaten Keerom;25,40;9.271,00
2024;Papua;Kota Jayapura;242,52;88.518,49
2024;Papua Barat;Kabupaten Manokwari;210,00;76.650,00
2024;Papua Barat;Kabupaten Teluk Wondama;17,81;6.501,96
2024;Papua Selatan;Kabupaten Asmat;47,41;17.305,38
2024;Papua Tengah;Kabupaten Mimika;159,34;58.160,01
2024;Papua Barat Daya;Kabupaten Sorong;51,99;18.974,60
